Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.8764044943820224,0.36708860759493667,0.626562679206331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9213483146067425,0.540084388185654,0.8431012730817755,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0.7977528089887649,0.3924050632911392,0.7573116183048515,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8539325842696641,0.4472573839662447,0.6398669572198646,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.32067510548523204,0.6481247849524028,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8764044943820224,0.38396624472573837,0.6780594104828536,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8314606741573058,0.30379746835443033,0.7101731849982796,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.3797468354430379,0.8034178231448561,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.808988764044944,0.3966244725738396,0.7225599265970869,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8539325842696641,0.42194092827004215,0.8244064686317238,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.3417721518987341,0.7405665787360937,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0.9438202247191008,0.2742616033755274,0.7112054134648469,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9101123595505634,0.3291139240506329,0.7149902511755936,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,0.35443037974683544,0.7225599265970869,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1.0,0.5189873417721518,0.864778070879688,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.9662921348314626,0.2616033755274261,0.7186603968344994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.2784810126582278,0.7913751577015714,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.21518987341772147,0.7489390985204726,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8988764044943842,0.3417721518987341,0.8528500974882441,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.9101123595505634,0.20253164556962025,0.8393164353710288,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.35443037974683544,0.8102993462553046,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9662921348314626,0.47257383966244715,0.8517031769698361,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9550561797752835,0.3417721518987341,0.7405665787360937,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0.9887640449438209,0.25316455696202533,0.7783002637917192,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8764044943820224,0.3459915611814346,0.7496272508315174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.8539325842696641,0.47679324894514763,0.7633902970524143,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.2362869198312236,0.7561646977864435,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.9325842696629216,0.2953586497890295,0.7354054364032573,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
