title,overview,poster_path,Director,Actors_1,Actors_2,Actors_3,genre_principal,genre_1,genre_2,genre_3,Year,runtime,vote_average,Tous genres
Manipulations,Ben est un jeune et ambitieux avocat travaillant pour le cabinet dirigé par Abrams. Il se met en tête d'attaquer le puissant dirigeant d'un important groupe pharmaceutique et se retrouve alors impliqué dans une spirale de chantage et de corruption. Une entrée brutale dans la cour des grands dont il ne pourra se sortir indemne...,/uBxTSjgYejU2rG9OskF01V6HfxH.jpg,Shintaro Shimosawa,Josh Duhamel,Anthony Hopkins,Al Pacino,Drame,Drame,Thriller,Aucun genre,2016,106.0,5.593,"['Drame', 'Thriller', 'Aucun genre']"
Saw III,"Le tueur au puzzle a mystérieusement échappé à ceux qui pensaient le tenir. Pendant que la police se démène pour tenter de remettre la main dessus, le génie criminel a décidé de reprendre son jeu terrifiant avec l’aide de sa protégée, Amanda. Le docteur Lynn Denlon et Jeff ne le savent pas encore, mais ils sont les nouveaux pions de la partie qui va commencer…",/aOKaThXYt1cKnIx6lFKl1tVROz2.jpg,Darren Lynn Bousman,Tobin Bell,Shawnee Smith,Angus Macfadyen,Horreur,Horreur,Thriller,Crime,2006,121.0,6.418,"['Horreur', 'Thriller', 'Crime']"
Les Bleus,"En l'espace d'une journée, John Winger perd son boulot, sa petite amie, son appartement et sa voiture. Avec un copain qui a autant de veine que lui, ils s'engagent dans l'armée. Parcours du combattant et marches forcées deviennent ainsi leurs occupations quotidiennes...",/vC6HTsJc0dFqPhjHBsvf5luOH4b.jpg,Ivan Reitman,Bill Murray,John Candy,Harold Ramis,Action,Action,Comédie,Aucun genre,1981,106.0,6.566,"['Action', 'Comédie', 'Aucun genre']"
American Girls,"Craquantes, débordantes d'énergie, véritables danseuses acrobatiques, elles sont les stars de leur université et mettent les stades en transe. La jolie Terrance est comblée : elle vient de prendre la tête des Toros, équipe lauréate depuis six ans ! Mais lorsque la jeune fille découvre que le numéro qui a fait leur succès a été tout bonnement volé aux Clovers, une équipe concurrente, son univers s'écroule… Il lui faut maintenant trouver un numéro original de tout urgence car le championnat approche à grands pas…",/yLU4gpzrKNeXZv8uUma5rF6VaYW.jpg,Peyton Reed,Kirsten Dunst,Eliza Dushku,Jesse Bradford,Comédie,Comédie,Aucun genre,Aucun genre,2000,98.0,6.26,"['Comédie', 'Aucun genre', 'Aucun genre']"
American Nightmare 3 : Élections,Une sénatrice américaine se lance dans la course à l'élection présidentielle en proposant l'arrêt total de la Purge annuelle. Ses opposants profitent alors d'une nouvelle édition de cette journée où tous les crimes sont permis pour la traquer et la tuer...,/cVFD6BIkAps16nYBzAORz69pUgl.jpg,James DeMonaco,Frank Grillo,Elizabeth Mitchell,Mykelti Williamson,Action,Action,Horreur,Thriller,2016,105.0,6.382,"['Action', 'Horreur', 'Thriller']"
Elle est trop bien,"Parce que Taylor a rompu avec Zack, ce qui risque de lui faire perdre sa réputation de président de classe, d'étudiant d'honneur et de capitaine de l'équipe de football, il parie avec son meilleur ami et rival, Dean, que n'importe quelle fille, à condition d'être bien maquillée, peut remporter le concours de reine du bal de fin d'année. C'est alors que Laney Boggs croise leur route et tombe dans les filets des deux compères. Cette élève de dernière année, dont l'ambition est de décrocher une bourse pour entrer dans une école d'art, n'a pas de temps à consacrer à la toilette.",/8nrp1GKsa7pGdAX5iQa7w3vhyeC.jpg,Robert Iscove,Freddie Prinze Jr.,Rachael Leigh Cook,Matthew Lillard,Comédie,Comédie,Romance,Aucun genre,1999,95.0,6.312,"['Comédie', 'Romance', 'Aucun genre']"
Precious: Based on the Novel 'Push' by Sapphire,"Lorsqu'à seize ans, Precious apprend à lire et à écrire dans une école alternative, un monde nouveau s'ouvre à elle. Un monde où elle peut enfin parler, raconter ce qui l'étouffe. Un monde où toutes les filles peuvent devenir belles, fortes, indépendantes. Comme Precious…",/sFcxjOtAV7iLCFA7b313FRpwzJ6.jpg,Lee Daniels,Gabourey Sidibe,Mo'Nique,Paula Patton,Drame,Drame,Aucun genre,Aucun genre,2009,109.0,7.3,"['Drame', 'Aucun genre', 'Aucun genre']"
Saw IV,"Le tueur au puzzle et sa protégée, Amanda, ont disparu, mais la partie continue. Après le meurtre de l’inspectrice Kerry, deux profileurs chevronnés du FBI, les agents Strahm et Perez, viennent aider le détective Hoffman à réunir les pièces du dernier puzzle macabre laissé par le Tueur pour essayer, enfin, de comprendre. C’est alors que le commandant du SWAT, Rigg, est enlevé. Forcé de participer au jeu mortel, il n’a que 90 minutes pour triompher d’une série de pièges machiavéliques et sauver sa vie. En cherchant Rigg à travers la ville, le détective Hoffman et les deux profileurs vont découvrir des cadavres et des indices qui vont les conduire à l’ex‐femme du Tueur, Jill. L’histoire et les véritables intentions du Tueur au puzzle vont peu à peu être dévoilées, ainsi que ses plans sinistres pour ses victimes passées, présentes… et futures.",/bOmwqSCNnz1isYCc9fc5NMchspf.jpg,Darren Lynn Bousman,Tobin Bell,Scott Patterson,Louis Ferreira,Horreur,Horreur,Thriller,Crime,2007,96.0,6.162,"['Horreur', 'Thriller', 'Crime']"
La Voix des morts,"Avant le décès soudain et mystérieux de son épouse, l'architecte Jonathan Rivers se considérait comme un homme rationnel qui ne croyait pas à la communication avec les morts. Jusqu'à ce que Raymond Price entre dans sa vie en prétendant avoir entendu la femme de Jonathan, Anna, par EVP (Electronic Voice Phenomenon)...",/xPflGSOiGsYihP7c5ouWqkaC3mg.jpg,Geoffrey Sax,Michael Keaton,Deborah Kara Unger,Ian McNeice,Drame,Drame,Horreur,Thriller,2005,93.0,5.606,"['Drame', 'Horreur', 'Thriller']"
Affaire de femmes,"Madea, une grand-mère afro-américaine affectueuse, reçoit toute sa famille pour le week-end à l'occasion d'une grande réunion de famille. Mais la femme doit affronter une crise familiale importante. Sa nièce Lisa compte épouser son fiancé en apparence charmant et brillant. Cependant, l'homme frappe sa compagne. Vanessa, une autre nièce de Madea, hésite à s'engager auprès d'un chauffeur de bus généreux et attentionné. Face à ces problèmes, Madea décide de prendre les choses en main. Une autre mauvaise nouvelle tombe : sa soeur décède. L'enterrement a lieu le jour du mariage de Lisa. En parallèle, Madea apprend qu'elle doit s'occuper de Nikki, une adolescente révoltée, suite à une décision du tribunal...",/yK08wNqMl52x7kySJoVqtMLLhI7.jpg,Tyler Perry,Tyler Perry,Blair Underwood,Lynn Whitfield,Drame,Drame,Comédie,Romance,2006,107.0,6.4,"['Drame', 'Comédie', 'Romance']"
La Couleur de l'argent,"Eddie Felson a quitté le monde du billard professionnel alors qu'il était au sommet de sa gloire. Mais quand il voit jouer Vincent Lauria, son sang ne fait qu'un tour. Il décide de le prendre en main et de lui apprendre toutes les ficelles du métier. Poussé par sa petite amie, une jeune femme qui partage le même amour de l'argent qu'Eddie, Vincent finit par accepter. Eddie emmène ensuite les deux jeunes gens dans un voyage de six semaines, au cours duquel il compte apprendre à ce joueur encore inexpérimenté, comment devenir un parfait «arnaqueur», en se servant de sa naïveté naturelle pour berner ses adversaires, et empocher un maximum de fric.",/GhkdAs4jfxhXAUZbszBO8Y1TJ1.jpg,Martin Scorsese,Paul Newman,Tom Cruise,Mary Elizabeth Mastrantonio,Drame,Drame,Aucun genre,Aucun genre,1986,119.0,6.851,"['Drame', 'Aucun genre', 'Aucun genre']"
